AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,SALE_COND,PARKING_FACIL,PRICE
Guindy,1149,614,3,2,Normal Sale,Yes,8300000
Mylapore,1586,50,3,2,Normal Sale,Yes,15100000
Mylapore,1728,88,3,3,Normal Sale,Yes,14600000
Anna Nagar,1623,78,4,4,Normal Sale,Yes,16700000
Guindy,1356,160,2,1,Normal Sale,Yes,10600000
Adyar,1500,142,3,4,Normal Sale,NO,12500000
Velacherry,1153,411,2,1,Family,Yes,6400000
Nungambakkam,1281,195,2,1,Abnormal,Yes,9400000
Kodambakkam,1088,168,2,2,Normal Sale,NO,6700000
Chromepet,1125,221,3,2,Family,Yes,5700000
Chetpet,1271,645,3,1,Family,NO,8900000
Avadi,894,151,2,1,Normal Sale,Yes,3600000
Nungambakkam,1212,322,2,2,Normal Sale,Yes,10600000
Guindy,1491,245,4,3,Abnormal,Yes,10200000
Chromepet,997,674,1,2,Normal Sale,Yes,4500000
Nungambakkam,1186,246,3,2,Abnormal,NO,8600000
Avadi,956,0,2,2,Normal Sale,Yes,4200000
Porur,1121,10,2,1,Normal Sale,NO,6200000
T Nagar,1777,723,3,4,Normal Sale,Yes,16400000
Adyar,1659,715,3,3,Normal Sale,Yes,13600000
Velacherry,1137,788,3,1,Partial,NO,6200000
Perambur,938,656,2,1,Family,Yes,4000000
Thiruvanmiyur,1324,63,2,2,Normal Sale,Yes,10100000
Velacherry,1143,152,2,1,Normal Sale,Yes,6800000
Velacherry,1242,266,3,2,Normal Sale,Yes,8400000
Adyar,1763,297,3,2,Normal Sale,Yes,16700000
Guindy,1297,163,3,2,Normal Sale,NO,10400000
Guindy,1478,77,4,2,Abnormal,Yes,10500000
Kodambakkam,1260,298,3,2,Normal Sale,Yes,8900000
Mylapore,1586,813,4,3,Normal Sale,NO,14200000
Avadi,833,446,2,1,Normal Sale,Yes,3400000
Thiruvanmiyur,1228,205,3,2,Normal Sale,Yes,10300000
Kodambakkam,1185,194,3,1,Family,Yes,8400000
T Nagar,1527,47,4,2,Partial,NO,13700000
Thiruvanmiyur,1044,242,3,1,Normal Sale,NO,8500000
T Nagar,1773,260,3,4,Normal Sale,Yes,16700000
Chetpet,1708,287,3,2,Normal Sale,Yes,13100000
Perambur,942,44,2,2,Partial,Yes,4000000
Egmore,1179,506,2,1,Family,Yes,7200000
Porur,1053,254,2,1,Normal Sale,Yes,6000000
OMR,1286,7,2,2,Normal Sale,Yes,8400000
Adyar,1572,43,4,4,Normal Sale,Yes,15400000
Besant Nagar,1427,35,3,3,Normal Sale,NO,11900000
Egmore,1442,228,3,3,Normal Sale,Yes,10000000
Velacherry,1104,151,3,2,Normal Sale,Yes,7700000
OMR,1559,86,4,2,Normal Sale,NO,10400000
Saidapet,1065,1000,3,2,Normal Sale,Yes,6900000
Chromepet,1001,373,2,1,Abnormal,Yes,4900000
Anna Nagar,1705,97,4,3,Family,Yes,15300000
Chromepet,1179,45,2,1,Normal Sale,Yes,6100000
OMR,1636,88,4,3,Abnormal,NO,10500000
Chetpet,1701,421,4,3,Normal Sale,NO,14800000
Tambaram,1068,224,2,2,Normal Sale,Yes,5000000
Egmore,1183,102,2,2,Normal Sale,Yes,8100000
Besant Nagar,1410,169,3,2,Normal Sale,Yes,12100000
Chetpet,1120,74,2,2,Normal Sale,NO,8600000
Porur,940,1000,2,1,Normal Sale,NO,4700000
Velacherry,980,166,2,1,Abnormal,NO,4900000
Saidapet,984,121,1,1,Normal Sale,NO,5800000
T Nagar,1354,599,3,2,Normal Sale,Yes,11100000
Porur,1086,25,2,1,Normal Sale,Yes,6600000
Avadi,733,44,2,1,Normal Sale,NO,3000000
Anna Nagar,1706,875,3,3,Normal Sale,Yes,13500000
Chromepet,1091,148,2,2,Normal Sale,Yes,6100000
Nungambakkam,1249,45,2,2,Normal Sale,Yes,10700000
Thiruvanmiyur,1347,305,3,2,Normal Sale,NO,10200000
Besant Nagar,1201,49,2,2,Normal Sale,Yes,10100000
Besant Nagar,1425,838,4,2,Normal Sale,NO,12500000
Chetpet,1099,189,3,2,Normal Sale,Yes,9700000
Adyar,1755,875,4,3,Normal Sale,Yes,16800000
Chetpet,1593,723,3,3,Normal Sale,Yes,13200000
Adyar,1794,365,4,2,Normal Sale,Yes,17400000
Kodambakkam,1218,215,3,2,Normal Sale,Yes,8900000
Anna Nagar,1998,130,3,4,Abnormal,Yes,15900000
T Nagar,1820,649,3,2,Normal Sale,NO,14500000
Guindy,1404,425,3,2,Normal Sale,Yes,10800000
Nungambakkam,1610,119,4,2,Normal Sale,Yes,15800000
OMR,1724,19,4,3,Normal Sale,Yes,13100000
Tambaram,962,469,1,2,Abnormal,NO,3200000
Kodambakkam,1157,216,3,1,Normal Sale,Yes,9100000
Besant Nagar,1371,432,2,2,Normal Sale,NO,10900000
T Nagar,1927,654,4,4,Normal Sale,NO,15900000
T Nagar,1443,91,4,3,Partial,Yes,13200000
Besant Nagar,1231,127,3,1,Family,NO,8400000
Nungambakkam,1418,308,4,3,Normal Sale,Yes,14400000
Anna Nagar,1533,116,3,4,Normal Sale,Yes,14100000
Perambur,1013,48,3,2,Normal Sale,NO,5200000
Porur,1250,89,2,2,Partial,NO,6700000
Saidapet,991,220,2,1,Normal Sale,Yes,6000000
Thiruvanmiyur,1558,49,3,4,Normal Sale,Yes,12100000
Egmore,1170,38,3,1,Normal Sale,Yes,8600000
Avadi,814,322,2,1,Normal Sale,Yes,3400000
OMR,1140,20,2,1,Normal Sale,NO,6900000
OMR,1490,109,4,2,Normal Sale,Yes,10500000
Adyar,1762,190,4,3,Normal Sale,Yes,18400000
Velacherry,1325,112,3,2,Family,Yes,8300000
T Nagar,1619,351,4,2,Normal Sale,Yes,16300000
Nungambakkam,1468,106,4,3,Normal Sale,Yes,13900000
Saidapet,1109,461,3,2,Normal Sale,Yes,7700000
Anna Nagar,1956,234,3,3,Normal Sale,Yes,16400000
Besant Nagar,1211,106,2,2,Normal Sale,Yes,9400000
T Nagar,1323,516,2,2,Normal Sale,Yes,10800000
Chromepet,748,193,2,2,Normal Sale,Yes,4300000
Tambaram,902,390,1,1,Normal Sale,Yes,3700000
Velacherry,1306,214,2,2,Normal Sale,Yes,7900000
Kodambakkam,1166,361,2,2,Normal Sale,Yes,7600000
Velacherry,1276,141,3,1,Normal Sale,Yes,8400000
OMR,1408,0,3,4,Normal Sale,Yes,9900000
Porur,1072,14,3,1,Family,Yes,6500000
Saidapet,1293,46,3,1,Normal Sale,Yes,8600000
Kodambakkam,1152,1000,3,1,Partial,Yes,7500000
OMR,1283,138,3,2,Normal Sale,NO,8200000
Avadi,625,48,1,2,Normal Sale,NO,2200000
OMR,1831,75,3,2,Partial,Yes,11400000
Besant Nagar,1206,16,2,2,Normal Sale,Yes,10100000
T Nagar,1692,499,3,2,Normal Sale,Yes,15100000
OMR,1479,35,3,2,Normal Sale,Yes,11000000
Kodambakkam,1134,73,3,2,Partial,Yes,7900000
Mylapore,1086,149,2,2,Normal Sale,NO,9100000
Porur,1087,334,2,2,Normal Sale,Yes,5800000
Mylapore,1685,27,4,3,Normal Sale,Yes,16300000
T Nagar,1703,107,4,4,Partial,Yes,14500000
Porur,1263,17,3,2,Normal Sale,Yes,8600000
Adyar,1735,366,4,4,Normal Sale,Yes,15500000
T Nagar,1715,188,3,4,Normal Sale,NO,15900000
Guindy,1483,218,4,3,Partial,NO,10600000
Chetpet,1487,24,4,2,Normal Sale,Yes,12700000
Nungambakkam,1236,54,2,2,Abnormal,Yes,9500000
Avadi,875,154,1,1,Partial,Yes,3100000
Mylapore,1361,96,3,1,Partial,Yes,11700000
Velacherry,1259,425,3,2,Normal Sale,Yes,8900000
Mylapore,1389,354,3,1,Partial,Yes,10600000
Avadi,890,142,2,1,Normal Sale,Yes,3800000
Tambaram,920,1000,2,2,Normal Sale,Yes,3900000
Chromepet,1141,238,2,2,Normal Sale,Yes,6300000
Chromepet,1120,357,3,1,Normal Sale,Yes,7000000
Mylapore,1607,158,3,2,Normal Sale,Yes,14700000
Chromepet,1107,543,2,2,Normal Sale,Yes,6000000
Chromepet,866,395,2,1,Normal Sale,Yes,4800000
Porur,1264,216,3,2,Normal Sale,Yes,8100000
Besant Nagar,1313,97,3,1,Normal Sale,Yes,11900000
OMR,1410,58,3,3,Partial,Yes,8900000
Anna Nagar,1783,227,4,3,Partial,NO,15300000
Thiruvanmiyur,1264,253,2,2,Normal Sale,Yes,10000000
Mylapore,1551,973,4,3,Normal Sale,Yes,13800000
OMR,1179,182,3,1,Normal Sale,NO,7800000
Saidapet,1010,163,3,2,Normal Sale,NO,6800000
Avadi,599,585,2,2,Abnormal,Yes,1900000
Egmore,1105,347,3,2,Normal Sale,NO,7000000
Avadi,827,70,2,2,Abnormal,Yes,3100000
Chromepet,992,42,2,2,Abnormal,Yes,4700000
T Nagar,1728,94,3,3,Partial,Yes,15000000
Mylapore,1511,690,4,3,Normal Sale,Yes,14200000
Besant Nagar,1411,39,3,4,Partial,Yes,11100000
Nungambakkam,1254,40,2,2,Normal Sale,Yes,10900000
Thiruvanmiyur,1239,984,2,1,Normal Sale,Yes,8800000
Thiruvanmiyur,1172,153,3,2,Normal Sale,Yes,9900000
Velacherry,1212,25,2,2,Abnormal,Yes,6500000
Chetpet,1680,153,4,4,Normal Sale,Yes,15900000
T Nagar,1610,353,3,4,Normal Sale,Yes,15200000
Egmore,1207,1000,2,2,Partial,Yes,6800000
Adyar,1402,82,3,4,Normal Sale,Yes,13500000
Besant Nagar,1334,54,3,2,Normal Sale,Yes,12200000
Porur,985,251,2,2,Partial,Yes,5300000
Chromepet,1292,45,2,2,Normal Sale,Yes,6800000
OMR,1107,37,2,2,Normal Sale,Yes,7500000
Mylapore,1670,858,3,3,Abnormal,Yes,11400000
Anna Nagar,1674,135,3,3,Family,Yes,12600000
OMR,1462,24,4,3,Normal Sale,NO,10400000
Tambaram,822,51,2,2,Abnormal,NO,3400000
Nungambakkam,1160,73,3,2,Partial,NO,9000000
Anna Nagar,2016,68,3,3,Normal Sale,Yes,19000000
Kodambakkam,1363,410,2,2,Partial,Yes,8900000
Velacherry,1277,98,2,2,Normal Sale,Yes,8800000
Anna Nagar,1698,257,4,4,Normal Sale,Yes,15500000
Tambaram,977,360,2,2,Normal Sale,Yes,4400000
Perambur,1019,75,2,1,Abnormal,Yes,4000000
Egmore,1410,154,3,4,Abnormal,Yes,9400000
Egmore,1195,136,3,2,Normal Sale,NO,8600000
Egmore,1247,604,3,1,Partial,NO,8200000
Perambur,1047,82,3,1,Abnormal,Yes,4800000
Adyar,1599,76,4,2,Normal Sale,Yes,16500000
Tambaram,974,228,2,1,Normal Sale,NO,4300000
Perambur,852,1000,2,1,Normal Sale,Yes,3700000
Nungambakkam,1412,16,3,2,Partial,Yes,11300000
Perambur,1077,276,2,2,Partial,NO,4600000
Chetpet,1265,104,2,1,Normal Sale,Yes,9700000
Saidapet,1085,67,3,2,Normal Sale,Yes,7500000
Nungambakkam,1422,340,4,3,Normal Sale,Yes,13200000
Thiruvanmiyur,1351,10,2,2,Normal Sale,NO,9700000
Guindy,1089,235,2,1,Normal Sale,Yes,7500000
Egmore,1237,12,2,2,Partial,NO,7400000
Thiruvanmiyur,1215,11,2,1,Normal Sale,NO,9200000
Saidapet,925,529,2,1,Normal Sale,Yes,5300000
Mylapore,1432,125,4,2,Normal Sale,Yes,14300000
Nungambakkam,1282,280,3,2,Normal Sale,Yes,12000000
Egmore,1271,290,2,2,Normal Sale,Yes,8300000
Saidapet,1020,226,3,2,Normal Sale,NO,6500000
Perambur,968,283,2,2,Normal Sale,Yes,4800000
Perambur,998,237,1,1,Abnormal,Yes,4000000
OMR,1489,190,3,3,Normal Sale,Yes,11100000
Thiruvanmiyur,1399,60,3,2,Normal Sale,NO,10600000
Mylapore,1812,80,4,3,Normal Sale,Yes,17200000
Tambaram,825,487,2,1,Abnormal,Yes,3300000
T Nagar,1703,179,3,2,Normal Sale,Yes,15000000
Saidapet,789,6,1,1,Normal Sale,Yes,4400000
Mylapore,1688,232,4,3,Normal Sale,Yes,15900000
T Nagar,1386,45,3,1,Family,Yes,11200000
Guindy,1234,7,3,2,Normal Sale,Yes,10600000
Chetpet,1431,167,3,3,Normal Sale,NO,11100000
Tambaram,923,438,1,2,Family,Yes,3400000
Guindy,1435,882,3,2,Partial,NO,9500000
Guindy,1395,145,2,2,Normal Sale,Yes,9800000
Egmore,1322,282,3,1,Normal Sale,NO,8600000
Tambaram,932,58,2,2,Partial,Yes,4100000
Saidapet,1053,56,2,1,Normal Sale,Yes,6800000
Saidapet,1133,228,3,1,Normal Sale,Yes,8100000
Avadi,708,33,2,2,Partial,Yes,2900000
Thiruvanmiyur,1282,24,2,2,Partial,Yes,8900000
Mylapore,1611,56,3,2,Partial,Yes,13100000
Thiruvanmiyur,1435,361,4,4,Normal Sale,NO,10800000
Guindy,1249,144,2,1,Partial,NO,8800000
Porur,1403,652,3,3,Normal Sale,Yes,8700000
Chromepet,1073,36,3,1,Normal Sale,Yes,6200000
Chetpet,1649,17,4,2,Normal Sale,NO,14800000
T Nagar,1340,301,3,2,Normal Sale,Yes,11600000
T Nagar,1478,107,3,3,Normal Sale,NO,11800000
Saidapet,1081,184,2,2,Normal Sale,Yes,7200000
Kodambakkam,992,309,2,1,Normal Sale,Yes,6700000
Egmore,1239,41,2,1,Normal Sale,Yes,9000000
Thiruvanmiyur,1290,231,3,1,Normal Sale,Yes,10900000
Chromepet,1052,220,3,2,Normal Sale,Yes,6000000
Egmore,1319,201,2,2,Normal Sale,Yes,8600000
Egmore,1323,534,2,2,Partial,Yes,7800000
Thiruvanmiyur,1198,80,3,2,Partial,Yes,8200000
Porur,1101,705,2,1,Normal Sale,NO,5400000
Perambur,897,388,1,2,Abnormal,Yes,3300000
Nungambakkam,1557,281,3,2,Normal Sale,Yes,15100000
Chromepet,1000,520,2,1,Normal Sale,Yes,5500000
Perambur,883,27,2,1,Partial,Yes,3900000
Kodambakkam,1282,161,2,2,Normal Sale,Yes,8300000
Avadi,772,364,1,2,Normal Sale,NO,2600000
Perambur,993,260,1,2,Partial,Yes,4000000
Adyar,1819,263,4,2,Partial,Yes,16600000
Anna Nagar,1734,114,4,2,Normal Sale,Yes,16200000
Chromepet,1122,3,3,1,Normal Sale,Yes,6400000
Chromepet,1129,77,3,2,Partial,NO,5800000
Anna Nagar,1744,93,4,3,Partial,Yes,16500000
Chromepet,1130,32,2,1,Normal Sale,Yes,6600000
Avadi,853,106,1,1,Normal Sale,Yes,3300000
Avadi,832,197,2,2,Partial,Yes,3000000
T Nagar,1738,574,4,2,Partial,NO,14800000
Nungambakkam,1403,822,3,3,Normal Sale,Yes,11400000
Chromepet,1077,566,2,1,Partial,Yes,5600000
Adyar,1453,280,4,3,Normal Sale,Yes,13500000
Chetpet,1710,15,4,2,Normal Sale,Yes,15500000
Perambur,830,792,1,2,Normal Sale,Yes,3600000
Porur,1079,242,3,2,Abnormal,Yes,5400000
Tambaram,879,58,2,1,Normal Sale,NO,4300000
Mylapore,1290,124,3,1,Normal Sale,Yes,11600000
Nungambakkam,1323,225,3,2,Normal Sale,Yes,11400000
Saidapet,889,329,1,1,Normal Sale,Yes,5500000
Velacherry,1103,161,2,1,Partial,Yes,6700000
Besant Nagar,1408,369,4,2,Normal Sale,Yes,12600000
Chromepet,991,180,1,1,Partial,Yes,4500000
Nungambakkam,1484,271,4,4,Normal Sale,Yes,15400000
Saidapet,1554,164,4,4,Normal Sale,Yes,10700000
Avadi,668,215,2,1,Normal Sale,Yes,2800000
Besant Nagar,1204,53,3,1,Abnormal,Yes,8600000
Perambur,1030,64,3,1,Family,Yes,4600000
T Nagar,1322,216,2,1,Normal Sale,Yes,10800000
Chetpet,1777,585,4,4,Partial,Yes,13900000
Chetpet,1215,73,3,2,Normal Sale,Yes,10400000
T Nagar,1638,87,3,4,Abnormal,Yes,13400000
T Nagar,1786,265,3,2,Normal Sale,NO,14700000
Guindy,1411,9,3,2,Normal Sale,Yes,11500000
OMR,1282,90,2,2,Normal Sale,Yes,9000000
OMR,1236,328,2,1,Normal Sale,Yes,8000000
Porur,1212,50,3,2,Normal Sale,NO,7900000
Adyar,1810,270,4,4,Normal Sale,Yes,16800000
Perambur,1035,164,2,1,Normal Sale,NO,4500000
Porur,918,27,2,1,Normal Sale,Yes,5800000
Velacherry,1362,154,2,1,Abnormal,Yes,7900000
Thiruvanmiyur,1409,7,4,3,Normal Sale,Yes,12700000
Tambaram,931,277,1,1,Normal Sale,Yes,4100000
T Nagar,1519,385,3,4,Partial,Yes,13100000
Adyar,1792,463,3,4,Normal Sale,Yes,16300000
Anna Nagar,2049,853,3,3,Normal Sale,Yes,16100000
Kodambakkam,1182,126,3,1,Normal Sale,NO,8300000
Velacherry,1408,512,3,3,Normal Sale,Yes,9700000
Tambaram,765,44,1,1,Normal Sale,Yes,3300000
Nungambakkam,1522,242,4,2,Normal Sale,Yes,13800000
Anna Nagar,1692,289,3,4,Normal Sale,Yes,16100000
Guindy,1043,384,2,1,Partial,Yes,7400000
Besant Nagar,1346,944,3,2,Normal Sale,Yes,10800000
Besant Nagar,1317,304,3,1,Normal Sale,Yes,10800000
Chromepet,1254,249,3,1,Normal Sale,Yes,7500000
Chetpet,1469,756,4,4,Normal Sale,Yes,12600000
Chetpet,1787,304,3,2,Normal Sale,Yes,15000000
OMR,1523,93,3,2,Normal Sale,Yes,10100000
Chromepet,894,699,2,2,Normal Sale,Yes,4600000
Guindy,1376,131,2,1,Normal Sale,Yes,10300000
Anna Nagar,1944,240,4,2,Partial,Yes,17100000
Besant Nagar,1242,24,3,1,Partial,NO,9200000
Perambur,979,277,1,1,Partial,Yes,4200000
Chetpet,1198,335,2,2,Normal Sale,Yes,8700000
Kodambakkam,1116,138,3,2,Normal Sale,Yes,8300000
Chromepet,1133,540,2,1,Normal Sale,Yes,6300000
Tambaram,1041,334,3,1,Normal Sale,Yes,5700000
OMR,1509,402,3,3,Normal Sale,NO,10400000
Besant Nagar,1322,248,3,2,Normal Sale,Yes,11300000
Mylapore,1747,688,4,4,Normal Sale,NO,15300000
Guindy,1303,14,2,1,Normal Sale,NO,9900000
Egmore,971,2,1,2,Normal Sale,NO,5900000
Thiruvanmiyur,1350,533,2,2,Partial,Yes,8600000
T Nagar,1413,646,3,2,Normal Sale,Yes,12700000
Guindy,1382,763,3,2,Normal Sale,Yes,11300000
Anna Nagar,1749,95,3,4,Abnormal,Yes,13100000
Perambur,995,454,1,1,Abnormal,Yes,3800000
Chetpet,1589,279,3,4,Normal Sale,Yes,12900000
Adyar,1718,389,4,2,Normal Sale,Yes,16100000
Chromepet,1184,533,2,2,Normal Sale,Yes,5900000
Chromepet,879,14,1,2,Normal Sale,Yes,4900000
Adyar,1813,1000,3,4,Normal Sale,Yes,15500000
Adyar,1535,173,4,2,Normal Sale,NO,14300000
Guindy,1380,298,2,2,Normal Sale,NO,10500000
Thiruvanmiyur,1218,565,2,1,Normal Sale,Yes,8000000
Thiruvanmiyur,1113,486,2,1,Normal Sale,Yes,7600000
Kodambakkam,1318,430,2,2,Partial,Yes,8600000
Egmore,1269,178,2,1,Partial,Yes,7300000
Egmore,1429,580,4,3,Normal Sale,Yes,10600000
Adyar,1613,861,3,3,Normal Sale,Yes,13300000
Guindy,1187,326,3,1,Normal Sale,Yes,9300000
Mylapore,1484,267,3,3,Partial,Yes,12400000
Thiruvanmiyur,1468,25,4,2,Normal Sale,Yes,13000000
Porur,919,184,2,1,Normal Sale,Yes,4900000
Saidapet,1282,46,2,2,Normal Sale,NO,8400000
Tambaram,969,141,1,2,Partial,NO,3900000
Nungambakkam,1725,79,4,2,Normal Sale,Yes,16300000
Nungambakkam,1360,322,3,2,Partial,Yes,10600000
